job,person,label
1135,40121,0
305,4973,0
664,9112,0
221,13978,0
322,41717,0
980,2590,1
660,35022,0
440,2678,0
1094,16467,1
1417,38750,0
1126,35372,0
1046,16067,0
422,36784,0
220,23144,0
1079,16399,0
747,12582,0
1603,52520,1
756,32862,0
804,15893,0
591,33708,0
1101,10980,0
1235,50112,0
321,27152,0
144,14190,0
808,46021,0
998,30787,0
919,42000,0
793,27975,1
781,28545,0
1423,40276,0
172,19553,0
843,1051,1
807,37706,0
708,41958,0
679,17495,0
1244,47032,0
220,21985,0
1365,15735,0
1337,18729,0
1020,39448,0
563,28544,0
1206,33808,0
10,8835,0
777,15252,0
447,21055,0
168,20283,0
1318,47740,0
763,13552,1
1263,47694,1
1347,43744,0
908,39355,0
231,4174,0
934,31671,0
398,30803,0
266,12096,0
155,44254,0
1009,48175,0
268,30929,0
788,37495,0
111,22362,0
658,37583,0
865,20024,0
1016,5699,0
1016,36057,0
628,40312,0
705,4304,0
1102,32460,0
1126,45880,0
543,13984,1
232,4687,0
1034,39211,0
1536,16653,1
1309,32379,1
161,30609,0
305,14053,0
2073,54015,1
421,49300,0
375,7152,0
241,30247,0
220,20940,0
2005,53256,1
569,19619,0
469,5321,0
1399,9649,0
152,36026,0
50,41825,0
456,36572,0
1838,51789,1
376,6536,0
573,38847,0
386,17234,0
1054,43586,0
902,11984,0
150,15761,0
159,23096,0
130,27440,0
1170,16551,0
494,4258,1
990,37621,0
1339,48628,0
823,8827,0
1086,26707,0
801,41054,0
663,38024,0
479,4664,0
1874,53266,1
1009,11305,0
978,24892,0
1212,44295,0
579,35502,0
1757,17045,1
152,9022,0
994,44351,0
95,29017,0
591,35153,0
13,47575,1
1166,32931,1
821,37659,0
166,20798,0
340,24608,0
501,2260,0
469,38476,0
220,26257,0
79,27302,0
427,29181,0
1236,45412,0
500,32759,0
302,8114,0
236,9745,0
1769,11718,1
1184,48779,0
1399,47937,0
351,9609,0
1000,45033,0
1135,18504,0
315,16845,0
1000,46252,0
1791,52693,1
539,16602,0
762,54,1
708,24709,0
1784,51506,1
2004,27541,1
1355,3711,0
987,6289,0
112,18033,0
454,12766,0
1750,7061,1
659,24228,0
880,47733,0
974,39002,0
196,19274,0
239,13978,0
437,22203,0
1126,48540,0
1234,42796,0
540,36239,0
497,22505,0
470,28692,0
1022,34637,0
1038,41891,0
421,8857,0
560,14045,0
442,29207,0
540,41389,0
1413,20336,0
498,33856,0
1076,39428,0
436,16771,0
258,17409,0
791,13334,0
255,5740,0
1231,44446,0
204,30990,0
1339,46786,0
696,38610,0
926,37979,0
437,22261,0
1236,14795,0
490,8015,0
431,4784,0
1310,48063,0
1879,52902,1
1328,43718,0
274,2066,0
593,28105,0
232,18872,0
333,26967,0
302,35484,0
950,38890,1
922,41028,0
352,18075,0
500,16551,0
747,12559,0
957,36016,0
540,37472,0
255,1615,0
266,18402,1
902,13533,0
1558,34499,1
1494,39797,0
968,814,0
432,38544,0
246,12293,0
197,24060,0
109,9066,0
1216,43360,0
1981,42787,1
613,40828,0
773,32575,0
303,24802,0
437,30798,0
246,19426,0
513,6069,0
1038,40684,0
306,18089,0
1620,29332,1
589,31861,0
94,777,0
485,17634,0
1394,37464,0
1365,50048,0
321,38612,1
1030,41522,0
742,31775,0
1236,44309,0
259,9858,0
875,13896,0
111,16142,0
1171,567,1
305,22414,0
1000,42969,0
250,26704,0
928,11686,0
1907,54514,1
134,18433,0
